模型,机型,任务名称,数据集编号,任务类型,step推理数量,关节 MSE（gripper正常）,ALL MSE（gripper正常）
GR00T N1.6/checkpoint-1,星尘智能S1,预-杯碟放置_桌面背景泛化_橙色,9b795273e5874d9984e3eb0fdda3bb3d,单臂_右,3000,0.1354011,0.160525942
GR00T N1.6/checkpoint-390000,星尘智能S1,预-杯碟放置_桌面背景泛化_橙色,9b795273e5874d9984e3eb0fdda3bb3d,单臂_右,3000,0.000875154,0.006404556
GR00T N1.6/checkpoint-1,UR5e,硬币放入存钱罐_补充,44cd7ef348ba4e63ab0e56d1ec3152be,单臂_右,6000,0.062033875,0.08549218
GR00T N1.6/checkpoint-390000,UR5e,硬币放入存钱罐_补充,44cd7ef348ba4e63ab0e56d1ec3152be,单臂_右,6000,0.0000314869,0.010285072
GR00T N1.6/checkpoint-1,UR5e,堆积木,0f55fc9678ad4dd3bd1d6ee430bc827a,双臂,6000,0.062203989,0.081087686
GR00T N1.6/checkpoint-390000,UR5e,堆积木,0f55fc9678ad4dd3bd1d6ee430bc827a,双臂,6000,0.000130685,0.008773271
GR00T N1.6/checkpoint-1,UR5e,语义测试,5df79740a10d4784b04975f9af3c558c,双臂,6000,0.062929707,0.084983371
GR00T N1.6/checkpoint-390000,UR5e,语义测试,5df79740a10d4784b04975f9af3c558c,双臂,6000,0.000040823,0.004631892
GR00T N1.6/checkpoint-1,方舟无限arx-acone,叠衣服,d9986c2261804ea791e4989874eee8c6,双臂,3000,0.137218916,0.15683234
GR00T N1.6/checkpoint-390000,方舟无限arx-acone,叠衣服,d9986c2261804ea791e4989874eee8c6,双臂,3000,0.000791042,0.001913864
GR00T N1.6/checkpoint-1,方舟无限arx-acone,叠衣服_修改流程,45b85d75f5154a939e293480af93b6a1,双臂,3000,0.140642768,0.166439441
GR00T N1.6/checkpoint-390000,方舟无限arx-acone,叠衣服_修改流程,45b85d75f5154a939e293480af93b6a1,双臂,3000,0.002072555,0.002631996
GR00T N1.6/checkpoint-1,方舟无限arx-acone,叠衣服_强化细节,3b305b19f662438088646cd4e9e5e631,双臂,3000,0.136653811,0.160717854
GR00T N1.6/checkpoint-390000,方舟无限arx-acone,叠衣服_强化细节,3b305b19f662438088646cd4e9e5e631,双臂,3000,0.000363173,0.000862019
GR00T N1.6/checkpoint-1,天机,插花,69d89b55781b487f8bfa2a65ec53cd23,双臂,3000,0.017314235,0.089297846
GR00T N1.6/checkpoint-390000,天机,插花,69d89b55781b487f8bfa2a65ec53cd23,双臂,3000,0.000778413,0.002284637
GR00T N1.6/checkpoint-1,天机,电池分拣,0fd9a046f966439fb1e915a5fed94581,双臂,3000,0.016674705,0.106140091
GR00T N1.6/checkpoint-390000,天机,电池分拣,0fd9a046f966439fb1e915a5fed94581,双臂,3000,0.000328738,0.001487413
GR00T N1.6/checkpoint-1,天机,叠杯子,de4561f3e74d494fac81e7e39d61f58a,双臂,3000,0.019495044,0.095305803
GR00T N1.6/checkpoint-390000,天机,叠杯子,de4561f3e74d494fac81e7e39d61f58a,双臂,3000,0.000729504,0.002504764
GR00T N1.6/checkpoint-1,Dwheel,预-章鱼玩具分类_桌面背景泛化_小鱼方巾,555d81b30669478fae7072f4c2293197,双臂,1924,0.176082215,0.203913945
GR00T N1.6/checkpoint-390000,Dwheel,预-章鱼玩具分类_桌面背景泛化_小鱼方巾,555d81b30669478fae7072f4c2293197,双臂,1924,0.000165233,0.005409958
GR00T N1.6/checkpoint-1,Dwheel,预-绿黄鸭梨分类_桌面背景泛化_蓝格子,138e0f85edc24dd3a2cd9e4caf03cee2,双臂,2424,0.176593223,0.203825629
GR00T N1.6/checkpoint-390000,Dwheel,预-绿黄鸭梨分类_桌面背景泛化_蓝格子,138e0f85edc24dd3a2cd9e4caf03cee2,双臂,2420,0.000241948,0.006219935
GR00T N1.6/checkpoint-1,Dwheel,预-圆柱立方体积木分类_桌面背景泛化_绿格子,d4e90e8481be4440882499681d8eea70,双臂,1951,0.176470682,0.203759488
GR00T N1.6/checkpoint-390000,Dwheel,预-圆柱立方体积木分类_桌面背景泛化_绿格子,d4e90e8481be4440882499681d8eea70,双臂,1951,0.000216857,0.003840909
GR00T N1.6/checkpoint-1,智元G1,支架安装,129dd0dd602145a1aa17f4385c7a63a8,单臂_右,6000,0.135378116,0.167892084
GR00T N1.6/checkpoint-1,智元G1,电源组件安装,f850372cd2b44bc297522657729d9dd2,双臂,6000,0.000290935,0.01270568
GR00T N1.6/checkpoint-1,智元G1,触摸板组装,f6fb6e44374c47fd95dac7661b8143cb,双臂,6000,0.134856164,0.169780645
GR00T N1.6/checkpoint-390000,智元G1,支架安装,129dd0dd602145a1aa17f4385c7a63a8,单臂_右,6000,0.000408742,0.013138458
GR00T N1.6/checkpoint-390000,智元G1,电源组件安装,f850372cd2b44bc297522657729d9dd2,双臂,6000,0.135267574,0.165634024
GR00T N1.6/checkpoint-390000,智元G1,触摸板组装,f6fb6e44374c47fd95dac7661b8143cb,双臂,6000,0.000145761,0.01932796
